--------- beginning of main
04-17 00:58:41.480  8526  8526 I zygote  :   at void android.os.Handler.dispatchMessage(android.os.Message) (Handler.java:105)
04-17 00:58:41.480  8526  8526 I zygote  :   at void android.os.Looper.loop() (Looper.java:164)
04-17 00:58:41.480  8526  8526 I zygote  :   at void android.app.ActivityThread.main(java.lang.String[]) (ActivityThread.java:6541)
04-17 00:58:41.480  8526  8526 I zygote  :   at java.lang.Object java.lang.reflect.Method.invoke(java.lang.Object, java.lang.Object[]) (Method.java:-2)
04-17 00:58:41.480  8526  8526 I zygote  :   at void com.android.internal.os.Zygote$MethodAndArgsCaller.run() (Zygote.java:240)
04-17 00:58:41.480  8526  8526 I zygote  :   at void com.android.internal.os.ZygoteInit.main(java.lang.String[]) (ZygoteInit.java:767)
04-17 00:58:41.480  8526  8526 I zygote  : 
04-17 00:58:41.480  8526  8526 I zygote  : Rejecting re-init on previously-failed class java.lang.Class<android.support.v4.view.ViewCompat$OnUnhandledKeyEventListenerWrapper>: java.lang.NoClassDefFoundError: Failed resolution of: Landroid/view/View$OnUnhandledKeyEventListener;
04-17 00:58:41.480  8526  8526 I zygote  :   at void android.support.v4.view.ViewCompat.setBackground(android.view.View, android.graphics.drawable.Drawable) (ViewCompat.java:2341)
04-17 00:58:41.480  8526  8526 I zygote  :   at void android.support.v7.widget.ActionBarContainer.<init>(android.content.Context, android.util.AttributeSet) (ActionBarContainer.java:62)
04-17 00:58:41.480  8526  8526 I zygote  :   at java.lang.Object java.lang.reflect.Constructor.newInstance0(java.lang.Object[]) (Constructor.java:-2)
04-17 00:58:41.480  8526  8526 I zygote  :   at java.lang.Object java.lang.reflect.Constructor.newInstance(java.lang.Object[]) (Constructor.java:334)
04-17 00:58:41.480  8526  8526 I zygote  :   at android.view.View android.view.LayoutInflater.createView(java.lang.String, java.lang.String, android.util.AttributeSet) (LayoutInflater.java:647)
